ID: 3d:tessellate | Name: 테셀레이트
ID: gdal:aspect | Name: 사면 향 분석
ID: gdal:assignprojection | Name: 투영체 적용
ID: gdal:buffervectors | Name: 벡터 버퍼
ID: gdal:buildvirtualraster | Name: 가상 래스터 생성
ID: gdal:buildvirtualvector | Name: 가상 벡터 작성하기
ID: gdal:cliprasterbyextent | Name: 범위로 래스터 자르기
ID: gdal:cliprasterbymasklayer | Name: 마스크 레이어로 래스터 자르기
ID: gdal:clipvectorbyextent | Name: 범위로 벡터 자르기
ID: gdal:clipvectorbypolygon | Name: 마스크 레이어로 벡터 자르기
ID: gdal:colorrelief | Name: 색상 기복
ID: gdal:contour | Name: 등고선 생성
ID: gdal:contour_polygon | Name: 등고선 폴리곤
ID: gdal:convertformat | Name: 포맷 변환
ID: gdal:dissolve | Name: 디졸브
ID: gdal:executesql | Name: SQL 실행
ID: gdal:extractprojection | Name: 투영체 추출
ID: gdal:fillnodata | Name: Fill NoData
ID: gdal:gdal2tiles | Name: gdal2tiles
ID: gdal:gdal2xyz | Name: gdal2xyz
ID: gdal:gdalinfo | Name: 래스터 정보
ID: gdal:gridaverage | Name: 그리드 (이동 평균)
ID: gdal:griddatametrics | Name: 그리드 (데이터 계량)
ID: gdal:gridinversedistance | Name: 그리드 (거리 거듭제곱 반비례)
ID: gdal:gridinversedistancenearestneighbor | Name: 그리드 (최근접 이웃 탐색으로 거리 반비례 가중)
ID: gdal:gridlinear | Name: 그리드 (선형)
ID: gdal:gridnearestneighbor | Name: 그리드 (최근접 이웃)
ID: gdal:hillshade | Name: 음영기복도
ID: gdal:importvectorintopostgisdatabaseavailableconnections | Name: PostgreSQL로 내보내기 (사용가능한 연결)
ID: gdal:importvectorintopostgisdatabasenewconnection | Name: PostgreSQL로 내보내기 (새로운 연결)
ID: gdal:merge | Name: 병합
ID: gdal:nearblack | Name: 흑색 보정
ID: gdal:offsetcurve | Name: 곡선 오프셋
ID: gdal:ogrinfo | Name: 벡터 정보
ID: gdal:onesidebuffer | Name: 한쪽 버퍼
ID: gdal:overviews | Name: 오버뷰 생성 (피라미드)
ID: gdal:pansharp | Name: Pansharpening
ID: gdal:pcttorgb | Name: PCT를 RGB로
ID: gdal:pointsalonglines | Name: 라인을 따라 포인트 생성
ID: gdal:polygonize | Name: 폴리곤화(래스터를 벡터로)
ID: gdal:proximity | Name: 근접도 (래스터 거리)
ID: gdal:rastercalculator | Name: 래스터 계산기
ID: gdal:rasterize | Name: 래스터화 (벡터를 래스터로)
ID: gdal:rasterize_over | Name: 래스터화 (속성과 함께 덮어쓰기)
ID: gdal:rasterize_over_fixed_value | Name: 래스터화 (고정값과 함께 덮어쓰기)
ID: gdal:rearrange_bands | Name: 밴드 재정렬
ID: gdal:retile | Name: 타일 재생성
ID: gdal:rgbtopct | Name: RGB를 PCT로
ID: gdal:roughness | Name: 거칠기
ID: gdal:sieve | Name: 거르기
ID: gdal:slope | Name: 경사
ID: gdal:tileindex | Name: 타일 ​​인덱스
ID: gdal:tpitopographicpositionindex | Name: 지형 위치 지수 (TPI)
ID: gdal:translate | Name: 변환 (포맷 변경)
ID: gdal:triterrainruggednessindex | Name: 지형 험상 지수 (TRI)
ID: gdal:viewshed | Name: 가시권 분석
ID: gdal:warpreproject | Name: 워프(재투영)
ID: grass:g.extension.list | Name: g.extension.list
ID: grass:g.extension.manage | Name: g.extension.manage
ID: grass:g.version | Name: g.version
ID: grass:i.albedo | Name: i.albedo
ID: grass:i.aster.toar | Name: i.aster.toar
ID: grass:i.atcorr | Name: i.atcorr
ID: grass:i.biomass | Name: i.biomass
ID: grass:i.cca | Name: i.cca
ID: grass:i.cluster | Name: i.cluster
ID: grass:i.colors.enhance | Name: i.colors.enhance
ID: grass:i.eb.eta | Name: i.eb.eta
ID: grass:i.eb.evapfr | Name: i.eb.evapfr
ID: grass:i.eb.hsebal01.coords | Name: i.eb.hsebal01.coords
ID: grass:i.eb.netrad | Name: i.eb.netrad
ID: grass:i.eb.soilheatflux | Name: i.eb.soilheatflux
ID: grass:i.emissivity | Name: i.emissivity
ID: grass:i.evapo.mh | Name: i.evapo.mh
ID: grass:i.evapo.pm | Name: i.evapo.pm
ID: grass:i.evapo.pt | Name: i.evapo.pt
ID: grass:i.evapo.time | Name: i.evapo.time
ID: grass:i.fft | Name: i.fft
ID: grass:i.gensig | Name: i.gensig
ID: grass:i.gensigset | Name: i.gensigset
ID: grass:i.group | Name: i.group
ID: grass:i.his.rgb | Name: i.his.rgb
ID: grass:i.ifft | Name: i.ifft
ID: grass:i.image.mosaic | Name: i.image.mosaic
ID: grass:i.in.spotvgt | Name: i.in.spotvgt
ID: grass:i.landsat.acca | Name: i.landsat.acca
ID: grass:i.landsat.toar | Name: i.landsat.toar
ID: grass:i.maxlik | Name: i.maxlik
ID: grass:i.modis.qc | Name: i.modis.qc
ID: grass:i.oif | Name: i.oif
ID: grass:i.pansharpen | Name: i.pansharpen
ID: grass:i.pca | Name: i.pca
ID: grass:i.rgb.his | Name: i.rgb.his
ID: grass:i.segment | Name: i.segment
ID: grass:i.smap | Name: i.smap
ID: grass:i.tasscap | Name: i.tasscap
